Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.7244507323568575,0.9346149578339991,0.898241276619655,0.9669731429954028,0.9313408488449999,0.3923102529960053,1.4237390516460284,Base,MC
0.7708888149134487,0.9525077674212161,0.9225993144912064,0.9800346185985437,0.9504500593325809,0.28495339547270304,1.2437341082455504,Base,ML
0.7688914780292943,0.946224478473147,0.9237511940214643,0.9658373233851306,0.9443255740482789,0.3226531291611185,1.3961109110550953,CB,MC
0.7375998668442078,0.9372642032845095,0.8927909198179469,0.9782361089733723,0.9335624788848249,0.37641478029294273,1.4345068189026324,CB,ML
0.7255326231691078,0.9283871504660453,0.9020340506826994,0.9503892490305775,0.9255805238047192,0.4296770972037284,1.5654942389326865,LB,MC
0.7682256990679095,0.9485685752330226,0.9331067033769737,0.9615807759119861,0.9471297801351697,0.3085885486018642,1.3314183123877918,LB,ML
0.7262816245006658,0.9342127163781625,0.8973703433162893,0.9670006963155824,0.9308852459016393,0.3947237017310253,1.4420796594709637,Base,MC
0.7635652463382158,0.9508155792276964,0.9201550823172445,0.9789574366331899,0.9486459087617669,0.2951065246338216,1.2481520591341078,Base,ML
0.7697237017310253,0.9458083666222814,0.9236950047760859,0.9650415333587719,0.9439157084822647,0.3251498002663116,1.4119985543910372,CB,MC
0.7371005326231691,0.9370284065690191,0.8928471090633253,0.9776656617239894,0.9333333333333335,0.37782956058588546,1.4371636593858816,CB,ML
0.7248668442077231,0.9286368175765646,0.9035230656852279,0.9494848100144666,0.9259339235586267,0.42817909454061254,1.5562613430127041,LB,MC
0.765479360852197,0.9475282956058588,0.9315053098836883,0.9610156227355728,0.9460303873314787,0.31483022636484687,1.3424414478353441,LB,ML
0.7227030625832224,0.9334359742565468,0.8970051132213295,0.9657300142161459,0.9300997742334862,0.39938415446071907,1.4402761104441777,Base,MC
0.7683089214380826,0.9526326009764758,0.9244254649660055,0.9784412263225193,0.9506666859280876,0.2842043941411451,1.2266522988505748,Base,ML
0.7741344873501997,0.9460025521526854,0.9244535595886947,0.964701398457885,0.9441487453911596,0.32398468708388817,1.4344141488577744,CB,MC
0.7423435419440746,0.9384986684420772,0.8955441928414901,0.9780314187530682,0.9349719883847124,0.3690079893475366,1.432170542635659,CB,ML
0.7255326231691078,0.9283732800710164,0.9041411473843907,0.9483703660045971,0.9257277643539293,0.4297603195739015,1.5657974530018193,LB,MC
0.7684753661784287,0.9482079449622726,0.9341462044164747,0.9598729792147807,0.9468348663040693,0.31075233022636484,1.3421998562185478,LB,ML
0.7262816245006658,0.9346149578339991,0.8978198572793168,0.9673972270993522,0.9313108352276039,0.3923102529960053,1.433262389784129,Base,MC
0.7649800266311585,0.9513010430537062,0.9206888801483396,0.9794375205475357,0.9491549968864496,0.29219374167776296,1.243271954674221,Base,ML
0.7734687083888149,0.9470012205947625,0.9249030735517222,0.9663036778302856,0.9451502232174899,0.31799267643142476,1.4037472446730346,CB,MC
0.7423435419440746,0.9377219263204616,0.8934932853851772,0.9784936311611593,0.9340636748120301,0.3736684420772304,1.4502583979328165,CB,ML
0.7327729693741678,0.9297741899689304,0.9038602011574984,0.9514683701534913,0.9270534672295301,0.4213548601864181,1.5767673621924634,LB,MC
0.7711384820239681,0.9491372614292055,0.9331628926223521,0.9626699127612092,0.9476867768948742,0.30517643142476697,1.3334545454545454,LB,ML
0.7245339547270306,0.9332833999112294,0.8965275046356127,0.9658877656032447,0.9299160741345145,0.40029960053262315,1.4531722054380665,Base,MC
0.7658122503328895,0.9510791167332445,0.9216160026970838,0.9780268924599743,0.9489838721342302,0.29352529960053264,1.2533759772565742,Base,ML
0.7730525965379494,0.9463493120284066,0.9256897229870202,0.964210464707948,0.9445575208554309,0.32190412782956057,1.4184085075174184,CB,MC
0.7416777629826897,0.9378467598757213,0.8946451649154352,0.9775594781273983,0.9342663087327083,0.37291944074567246,1.4436211340206186,CB,ML
0.7292776298268975,0.9289280958721704,0.9049839860650671,0.9486952936325617,0.9263242652556508,0.4264314247669774,1.5751613894866276,LB,MC
0.7690579227696405,0.9486101864181092,0.9333876496038658,0.9613971120178256,0.9471853573006799,0.30833888149134486,1.335135135135135,LB,ML
0.7286950732356857,0.934906236129605,0.898634601337304,0.967191799461764,0.9316536809145852,0.3905625832223702,1.4395705521472393,Base,MC
0.7684753661784287,0.9519113404349756,0.9224588413777602,0.9789213201753079,0.949851739350546,0.2885319573901465,1.2462257368799425,Base,ML
0.7716378162450066,0.9449345317354638,0.9218407596785975,0.9650588235294117,0.9429548524298073,0.33039280958721706,1.4467930029154519,CB,MC
0.7433422103861518,0.9373612960497115,0.8934370961397988,0.9777702619603985,0.9337032796030418,0.375832223701731,1.464332036316472,CB,ML
0.7310252996005326,0.9285813359964492,0.903017362476822,0.9498507639114631,0.9258421787910648,0.4285119840213049,1.593131188118812,LB,MC
0.7748002663115846,0.9492343541944075,0.933921447434961,0.9621418234442837,0.9478216240875913,0.30459387483355527,1.352549889135255,LB,ML
0.729693741677763,0.9345594762538837,0.8976231949204923,0.9674781976744186,0.9312425311142849,0.39264314247669774,1.4525862068965518,Base,MC
