Noise,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
0.0,0.9683333333333334,0.9930555555555556,0.9892715979672502,0.9965870307167235,0.9929158401813545,0.041666666666666664,1.3157894736842106,0,Base,MC
0.006,0.9452991452991453,0.9886039886039886,0.9831688914683692,0.9935483870967742,0.9883313885647609,0.06837606837606838,1.25,0,Base,MC
0.012,0.9631410256410257,0.9930555555555556,0.9898177920685959,0.9962243797195254,0.993010752688172,0.041666666666666664,1.1304347826086956,0,Base,MC
0.018000000000000002,0.9461172741679873,0.98837823560486,0.9824933687002653,0.9940955448201825,0.9882604055496265,0.06973058637083994,1.2941176470588236,0,Base,MC
0.024,0.9574468085106383,0.9899072558647026,0.9841269841269841,0.9955703211517165,0.9898155794109551,0.060556464811783964,1.4230769230769231,0,Base,MC
0.03,0.9437299035369775,0.987406216505895,0.985945945945946,0.9886178861788618,0.9872801082543979,0.07556270096463022,1.3428571428571427,0,Base,MC
0.036000000000000004,0.9378238341968912,0.9861830742659758,0.9801169590643275,0.991715976331361,0.9858823529411764,0.08290155440414508,1.3333333333333333,0,Base,MC
0.042,0.9251592356687898,0.9835456475583864,0.9748124330117899,0.9918211559432933,0.9832432432432432,0.09872611464968153,1.3191489361702127,0,Base,MC
0.048,0.9380378657487092,0.9853700516351118,0.9785008715862871,0.9917550058892816,0.985083357706932,0.08777969018932874,1.4166666666666667,0,Base,MC
0.054,0.9318568994889267,0.9815445769449177,0.9756521739130435,0.9865181711606096,0.9810550859807635,0.11073253833049404,1.625,0,Base,MC
0.06,0.9119718309859155,0.9791666666666666,0.9698976520168573,0.9871323529411765,0.978439113270574,0.125,1.42,0,Base,MC
0.066,0.9011725293132329,0.9754327191513121,0.967923466516601,0.9822958309537407,0.9750566893424036,0.1474036850921273,1.4915254237288136,0,Base,MC
0.07200000000000001,0.9183673469387755,0.9764521193092621,0.9659936238044633,0.9859002169197397,0.9758454106280193,0.141287284144427,1.7307692307692308,0,Base,MC
0.078,0.9093851132686084,0.9749190938511327,0.9649507119386638,0.9838079285315466,0.9742880840475532,0.15048543689320387,1.6607142857142858,0,Base,MC
0.084,0.8996598639455783,0.9747732426303855,0.9650959860383944,0.9828199052132701,0.9738773114176695,0.15136054421768708,1.5084745762711864,0,Base,MC
0.09,0.8767361111111112,0.9646990740740741,0.9431418522860492,0.9847001223990208,0.9634730538922156,0.21180555555555555,1.7183098591549295,0,Base,MC
0.0,0.9916666666666667,0.9977777777777778,0.9971767363071711,0.998304126625212,0.9977401129943502,0.013333333333333334,1.6,0,Base,ML
