Rotation,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
-20.0,0.5986622073578596,0.9018952062430323,0.8392045454545455,0.9553686934023286,0.8935269207501513,0.5886287625418061,1.4666666666666666,0,Base,MC
-17.5,0.7073608617594255,0.931178934769599,0.8832518337408313,0.9737196765498652,0.9262820512820513,0.4129263913824057,1.4110429447852761,0,Base,MC
-15.0,0.7586206896551724,0.9509981851179673,0.9195121951219513,0.9804941482444733,0.9490245437382002,0.294010889292196,1.218045112781955,0,Base,MC
-12.5,0.8677536231884058,0.9707125603864735,0.9535452322738386,0.9867172675521821,0.9698476841778053,0.17572463768115942,1.3287671232876712,0,Base,MC
-10.0,0.9118165784832452,0.9826572604350382,0.9733570159857904,0.991556091676719,0.9823722736779206,0.10405643738977072,1.18,0,Base,MC
-7.5,0.9068541300527241,0.9786174575278266,0.9685497961560862,0.9887039239001189,0.9785230950279493,0.1282952548330404,1.3773584905660377,0,Base,MC
-5.0,0.9464594127806563,0.9902130109383995,0.9900117508813161,0.9900117508813161,0.9900117508813161,0.05872193436960276,1.096774193548387,0,Base,MC
-2.5,0.964824120603015,0.9932998324958124,0.9914578587699316,0.9948571428571429,0.993154592127781,0.04020100502512563,1.1428571428571428,0,Base,MC
0.0,0.9283216783216783,0.9836829836829837,0.9785202863961814,0.9879518072289156,0.9832134292565947,0.0979020979020979,1.3658536585365855,0,Base,MC
2.5,0.9554367201426025,0.9904931669637552,0.9838032393521295,0.9969604863221885,0.9903381642512077,0.0570409982174688,1.28,0,Base,MC
5.0,0.9547826086956521,0.9892753623188406,0.9833926453143536,0.9946010797840432,0.9889651058753356,0.06434782608695652,1.4230769230769231,0,Base,MC
7.5,0.9072164948453608,0.9822451317296678,0.975072463768116,0.9888300999412111,0.981903093987157,0.10652920962199312,1.1481481481481481,0,Base,MC
10.0,0.8645640074211502,0.9706246134817563,0.9573934837092731,0.9826366559485531,0.9698508410028561,0.17625231910946196,1.3013698630136987,0,Base,MC
12.5,0.772972972972973,0.9552552552552552,0.9315980629539952,0.9771428571428571,0.9538270839789277,0.26846846846846845,1.1825396825396826,0,Base,MC
15.0,0.6761565836298933,0.9297153024911032,0.8889541715628673,0.9692504804612428,0.9273674532638677,0.42170818505338076,1.3021978021978022,0,Base,MC
17.5,0.5732600732600732,0.9065934065934066,0.8468298807281858,0.9560595322466336,0.8981358189081224,0.5604395604395604,1.3133047210300428,0,Base,MC
20.0,0.47543859649122805,0.8818713450292398,0.8038049940546967,0.9481065918653576,0.8700128700128699,0.7087719298245614,1.351170568561873,0,Base,MC
-20.0,0.6404682274247492,0.9286510590858417,0.8767045454545455,0.9753476611883691,0.9233991621783363,0.4280936454849498,1.1906976744186046,0,Base,ML
-17.5,0.7378815080789947,0.9503291442250149,0.9150366748166259,0.9822834645669292,0.9474683544303798,0.2980251346499102,1.1369863013698631,0,Base,ML
-15.0,0.8656987295825771,0.9748941318814277,0.9567073170731707,0.9924098671726755,0.9742316050915865,0.15063520871143377,1.1216216216216217,0,Base,ML
-12.5,0.9202898550724637,0.9858091787439613,0.9767726161369193,0.9943995021779714,0.9855072463768115,0.08514492753623189,1.0681818181818181,0,Base,ML
-10.0,0.9506172839506173,0.9908877131099353,0.9834221432800474,0.9981971153846154,0.9907545481658216,0.054673721340388004,1.1071428571428572,0,Base,ML
-7.5,0.968365553602812,0.9935559461042766,0.9895165987186954,0.997651203758074,0.9935672514619883,0.03866432337434095,1.2222222222222223,0,Base,ML
-5.0,0.9879101899827288,0.9979850316637882,0.9982373678025852,0.997651203758074,0.9979441997063143,0.012089810017271158,1.0,0,Base,ML
-2.5,0.9849246231155779,0.996929089893914,0.994874715261959,0.9988564894225271,0.9968616262482168,0.018425460636515914,1.2222222222222223,0,Base,ML
0.0,0.9807692307692307,0.995920745920746,0.9940334128878282,0.9976047904191617,0.99581589958159,0.024475524475524476,1.2727272727272727,0,Base,ML
2.5,0.9893048128342246,0.9982174688057041,0.9964007198560288,1.0,0.9981971153846153,0.0106951871657754,1.0,0,Base,ML
5.0,0.9756521739130435,0.9956521739130435,0.9922894424673784,0.9988059701492538,0.995537042546861,0.02608695652173913,1.0714285714285714,0,Base,ML
7.5,0.9450171821305842,0.9894043528064147,0.9843478260869565,0.9941451990632318,0.989222254587824,0.06357388316151202,1.15625,0,Base,ML
10.0,0.9016697588126159,0.9814471243042672,0.9711779448621554,0.9910485933503836,0.9810126582278481,0.11131725417439703,1.1320754716981132,0,Base,ML
12.5,0.8414414414414414,0.972072072072072,0.9546004842615012,0.9887147335423198,0.971358176778565,0.16756756756756758,1.0568181818181819,0,Base,ML
15.0,0.7064056939501779,0.9460260972716489,0.9159811985898942,0.9755944931163955,0.9448484848484849,0.3238434163701068,1.103030303030303,0,Base,ML
17.5,0.5714285714285714,0.9227716727716728,0.869428750784683,0.9685314685314685,0.9163083030102547,0.4633699633699634,1.0811965811965811,0,Base,ML
20.0,0.4964912280701754,0.9017543859649123,0.8400713436385255,0.9547297297297297,0.8937381404174574,0.5894736842105263,1.170731707317073,0,Base,ML
-20.0,0.6020066889632107,0.9108138238573021,0.8829545454545454,0.9316546762589928,0.9066511085180864,0.5351170568561873,1.3445378151260505,0,CB,MC
-17.5,0.7163375224416517,0.9419509275882705,0.9309290953545232,0.949501246882793,0.9401234567901234,0.348294434470377,1.2278481012658229,0,CB,MC
-15.0,0.8275862068965517,0.9670296430732003,0.9713414634146341,0.9625377643504531,0.9669195751138087,0.19782214156079855,1.1473684210526316,0,CB,MC
-12.5,0.9094202898550725,0.9803743961352657,0.9828850855745721,0.9775075987841946,0.9801889667784212,0.11775362318840579,1.3,0,CB,MC
-10.0,0.9611992945326279,0.9923574368018813,0.9917110716400237,0.992886781268524,0.9922985781990522,0.04585537918871252,1.1818181818181819,0,CB,MC
