Noise,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
0.0,0.9614835948644793,0.9916785544460295,0.9870565675934804,0.996129656507015,0.9915723573320492,0.04992867332382311,1.2962962962962963,0,Base,MC
0.00625,0.9619883040935673,0.9917153996101364,0.986159169550173,0.9970014992503748,0.9915506958250497,0.049707602339181284,1.3076923076923077,0,Base,MC
0.0125,0.9407806191117093,0.9881112606550022,0.983370786516854,0.9927404718693285,0.9880334161210206,0.07133243606998654,1.2045454545454546,0,Base,MC
0.018750000000000003,0.9378531073446328,0.9861111111111112,0.9805595068752964,0.9913710450623202,0.9859356376638857,0.08333333333333333,1.3409090909090908,0,Base,MC
0.025,0.9460992907801419,0.9877068557919622,0.9805779251539555,0.9947140797693417,0.9875954198473282,0.07375886524822695,1.368421052631579,0,Base,MC
0.03125,0.948509485094851,0.9878048780487805,0.9817684594348223,0.9935424354243543,0.9876203576341129,0.07317073170731707,1.4210526315789473,0,Base,MC
0.037500000000000006,0.9316353887399463,0.9823503127792672,0.970508166969147,0.9934974454249884,0.9818682579756713,0.10589812332439678,1.5490196078431373,0,Base,MC
0.043750000000000004,0.9330601092896175,0.9845173041894353,0.976465159206276,0.9920300046882325,0.9841860465116279,0.09289617486338798,1.3877551020408163,0,Base,MC
0.05,0.9270998415213946,0.9841521394611727,0.9738846572361263,0.9933407325194229,0.9835164835164836,0.09508716323296355,1.3043478260869565,0,Base,MC
0.05625,0.925392670157068,0.9805846422338569,0.9729493891797557,0.9880372175454143,0.9804352604968125,0.11649214659685864,1.5614035087719298,0,Base,MC
0.0625,0.9225251076040172,0.9830224772835964,0.9729985788725722,0.9932301740812379,0.983010289542953,0.10186513629842181,1.3148148148148149,0,Base,MC
0.06875,0.8949704142011834,0.9721400394477318,0.9560878243512974,0.9871200412158682,0.9713561470215463,0.16715976331360946,1.591549295774648,0,Base,MC
0.07500000000000001,0.9011627906976745,0.9777131782945736,0.9652777777777778,0.9888211382113821,0.9769076305220884,0.13372093023255813,1.3529411764705883,0,Base,MC
0.08125,0.889763779527559,0.9704724409448819,0.9556561085972851,0.9827826896230805,0.9690295939435651,0.17716535433070865,1.6071428571428572,0,Base,MC
0.08750000000000001,0.8738872403560831,0.9666172106824926,0.9489795918367347,0.9815303430079155,0.9649805447470817,0.20029673590504452,1.588235294117647,0,Base,MC
0.09375,0.8720238095238095,0.9692460317460317,0.9499241274658573,0.9868628481345244,0.9680412371134021,0.18452380952380953,1.441860465116279,0,Base,MC
0.1,0.8618705035971223,0.965947242206235,0.9462989840348331,0.984398590840463,0.9649728663048841,0.20431654676258992,1.4791666666666667,0,Base,MC
0.0,0.9885877318116976,0.9980979553019496,0.9976030680728667,0.9985604606525912,0.9980815347721823,0.011412268188302425,1.0,0,Base,ML
0.00625,0.9853801169590644,0.9975633528265108,0.9950568462679189,1.0,0.9975222993062438,0.014619883040935672,1.0,0,Base,ML
0.0125,0.9798115746971736,0.9961866307761328,0.9946067415730337,0.9977457168620378,0.9961737564708529,0.02288021534320323,1.1333333333333333,0,Base,ML
0.018750000000000003,0.9830508474576272,0.9971751412429378,0.9943100995732574,1.0,0.9971469329529243,0.01694915254237288,1.0,0,Base,ML
0.025,0.9872340425531915,0.997872340425532,0.995736617716722,1.0,0.9978637550439117,0.01276595744680851,1.0,0,Base,ML
0.03125,0.983739837398374,0.9970641373080398,0.9963536918869644,0.9977179370150616,0.9970353477765109,0.017615176151761516,1.0833333333333333,0,Base,ML
0.037500000000000006,0.9705093833780161,0.9939678284182306,0.9904718693284936,0.9972590223846505,0.9938538584111085,0.036193029490616625,1.2272727272727273,0,Base,ML
0.043750000000000004,0.9672131147540983,0.9938524590163934,0.991693585602215,0.9958294717330862,0.993757225433526,0.036885245901639344,1.125,0,Base,ML
0.05,0.9667194928684627,0.99418911780243,0.9934711643090316,0.9945533769063181,0.9940119760479041,0.03486529318541997,1.0476190476190477,0,Base,ML
0.05625,0.9659685863874345,0.9925828970331588,0.9917102966841187,0.9934440559440559,0.9925764192139738,0.04450261780104712,1.3076923076923077,0,Base,ML
0.0625,0.9770444763271162,0.9952175992348159,0.9943154902889626,0.996203132415757,0.9952584163110479,0.028694404591104734,1.25,0,Base,ML
0.06875,0.9526627218934911,0.9911242603550295,0.9895209580838323,0.9924924924924925,0.9910044977511244,0.05325443786982249,1.125,0,Base,ML
0.07500000000000001,0.9636627906976745,0.9920058139534884,0.9925595238095238,0.9910846953937593,0.99182156133829,0.04796511627906977,1.32,0,Base,ML
0.08125,0.9593175853018373,0.9908136482939632,0.9904977375565611,0.9904977375565611,0.9904977375565611,0.05511811023622047,1.3548387096774193,0,Base,ML
0.08750000000000001,0.9406528189910979,0.9859050445103857,0.9887755102040816,0.9822605169792195,0.9855072463768115,0.08456973293768547,1.425,0,Base,ML
0.09375,0.9404761904761905,0.986359126984127,0.9883662114314619,0.9838872104733132,0.9861216250315418,0.0818452380952381,1.375,0,Base,ML
0.1,0.9381294964028777,0.986810551558753,0.988388969521045,0.9850530376084861,0.9867181840135234,0.07913669064748201,1.2790697674418605,0,Base,ML
0.0,0.985734664764622,0.9971469329529244,0.9976030680728667,0.9966475095785441,0.9971250598945856,0.017118402282453638,1.2,0,CB,MC
0.00625,0.9912280701754386,0.9985380116959064,0.9985170538803757,0.9985170538803757,0.9985170538803757,0.008771929824561403,1.0,0,CB,MC
