Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.810735049833887,0.9583160299003323,0.9336840259512538,0.9809151867953725,0.9567170346946475,0.2501038205980066,1.3214481623697203,Base,MC
0.8514327242524917,0.9719857419712071,0.9537085744345082,0.9891248999781771,0.9710939313324644,0.16808554817275748,1.1313766596785464,Base,ML
0.8708471760797342,0.973266196013289,0.966929686130107,0.9786327819975864,0.9727460353860538,0.16040282392026578,1.2419614147909968,CB,MC
0.8605689368770764,0.9715185492801772,0.9537436436963002,0.9881190277222687,0.9706270744851709,0.17088870431893688,1.225614296351452,CB,ML
0.8382475083056479,0.9634551495016611,0.9540943363142206,0.9713306437216609,0.9626353407402165,0.21926910299003322,1.355584082156611,LB,MC
0.8694975083056479,0.97437361572536,0.9700859196913905,0.9778013432308236,0.9739283513775195,0.15375830564784054,1.1782020684168655,LB,ML
0.8135382059800664,0.9585582779623477,0.9340347185691741,0.9810667452482688,0.9569732138045021,0.24865033222591362,1.3335189309576838,Base,MC
0.8549626245847176,0.9725913621262459,0.9546905137646853,0.9893876067599491,0.9717294306621452,0.1644518272425249,1.1338582677165354,Base,ML
0.8714700996677741,0.9728855204872646,0.9657724004909697,0.9789904017063633,0.9723364815959044,0.16268687707641197,1.265751211631664,CB,MC
0.8621262458471761,0.9721414728682171,0.955391899000526,0.9877451869040281,0.9712992013690814,0.16715116279069767,1.2123493975903614,CB,ML
0.8336794019933554,0.9618978405315615,0.9534280203401718,0.9688535690103702,0.9610789027149321,0.22861295681063123,1.3745318352059925,LB,MC
0.8731312292358804,0.9748754152823921,0.9707522356654392,0.9781617725007951,0.9744429189988384,0.15074750830564784,1.188216039279869,LB,ML
0.8075166112956811,0.9578661406423035,0.9345256882342626,0.979129923574368,0.9563079794010514,0.2528031561461794,1.313376483279396,Base,MC
0.8510174418604651,0.9719857419712071,0.9552165526915658,0.9875997099347353,0.9711382476156519,0.16808554817275748,1.1282229965156794,Base,ML
0.8678363787375415,0.9724183277962348,0.9667543398211468,0.9771027540495516,0.9719010012692145,0.16549003322259137,1.2521602513747054,CB,MC
0.8646179401993356,0.9718646179401993,0.9552516219533579,0.9873137844793215,0.9710181092257237,0.168812292358804,1.2469325153374233,CB,ML
0.8322259136212624,0.9613268272425249,0.9529019814132913,0.9682155074116305,0.9604977111649199,0.2320390365448505,1.3830445544554455,LB,MC
0.8643064784053156,0.9728163067552602,0.9686130106961248,0.9761096974837433,0.9723469046487476,0.16310215946843853,1.2019892884468248,LB,ML
0.8024294019933554,0.9566895071982281,0.9318954935998597,0.9793248323137024,0.9550216535786807,0.2598629568106312,1.3152916447714136,Base,MC
0.8481104651162791,0.9712243909191584,0.9528669121514992,0.9883957802837395,0.9703062226586912,0.17265365448504982,1.1367053998632946,Base,ML
0.8683554817275747,0.9724183277962348,0.9657724004909697,0.9780516390240438,0.971873235460192,0.16549003322259137,1.2570977917981072,CB,MC
0.862437707641196,0.9715877630121816,0.9543748904085569,0.987624750499002,0.9707151774567505,0.1704734219269103,1.2392452830188678,CB,ML
0.8313953488372093,0.9611018826135105,0.9521304576538664,0.9685014090536154,0.960246162552168,0.23338870431893688,1.3842364532019704,LB,MC
0.8651370431893688,0.9732488925802879,0.9686831492197089,0.9769053934571176,0.9727768973410812,0.16050664451827243,1.1901462663587374,LB,ML
0.8100083056478405,0.9577277131782945,0.93396458004559,0.9794057075610474,0.9561455472382286,0.25363372093023256,1.3349726775956283,Base,MC
0.8506021594684385,0.9713628183831672,0.9529019814132913,0.9886479406199971,0.9704459008196575,0.1718230897009967,1.1501042390548992,Base,ML
0.8670058139534884,0.9722452934662237,0.9662633701560582,0.9772300053200922,0.9717157467818728,0.1665282392026578,1.2521467603434817,CB,MC
0.857765780730897,0.9709821428571429,0.9533929510783798,0.9873610808455001,0.9700797516458812,0.17410714285714285,1.224087591240876,CB,ML
0.8327450166112956,0.9614825581395349,0.9520603191302823,0.9693290962973542,0.9606171048441315,0.2311046511627907,1.3817504655493482,LB,MC
0.865656146179402,0.9733181063122923,0.968718218481501,0.9770098680720122,0.9728463759949285,0.16009136212624583,1.1916537867078825,LB,ML
0.8100083056478405,0.9576238925802879,0.9333684025951253,0.9797894271830364,0.9560157330411825,0.2542566445182724,1.3382513661202187,Base,MC
0.8569352159468439,0.9728682170542635,0.9561283534981588,0.9885065806170915,0.9720479178551056,0.16279069767441862,1.1378809869375908,Base,ML
0.8726121262458472,0.9730412513842747,0.9664036472032264,0.9786909116738289,0.9725084697910784,0.16175249169435216,1.269763651181744,CB,MC
0.8633720930232558,0.9720549557032115,0.955356829738734,0.9876015081206496,0.9712116080500545,0.1676702657807309,1.2272036474164134,CB,ML
0.8402200996677741,0.9632994186046512,0.9554269682623181,0.9697444294155335,0.9625324595029059,0.22020348837209303,1.3781676413255362,LB,MC
0.8709509966777409,0.9746504706533776,0.9709977204979835,0.9774765233354515,0.9742263506975598,0.15209717607973422,1.178600160901046,LB,ML
