Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.8951398135818908,0.9715518197958278,0.9503006124627746,0.9917319025420002,0.9705743102681453,0.1706890812250333,1.6277777777777778,Base,MC
0.9387483355525965,0.9856025299600533,0.9898578412091925,0.9811473127262601,0.9854833296039381,0.08638482023968043,1.4103260869565217,Base,ML
0.6978195739014648,0.9084415224145583,0.8891105242456594,0.9226261625025509,0.9055583375062594,0.5493508655126498,1.8179564858165795,CB,MC
0.9228528628495339,0.9790557035064359,0.9594313648367703,0.998071077858312,0.9783698610514254,0.1256657789613848,1.62891046386192,CB,ML
0.8957223701731025,0.9721621171770972,0.9676630892847109,0.9757500212470608,0.9716897295924843,0.16702729693741677,1.601755786113328,LB,MC
0.9832723035952063,0.9967127163781625,0.9981176602798224,0.9952376950444015,0.9966755972002076,0.0197237017310253,1.1791044776119404,LB,ML
0.8967210386151797,0.9723424323124723,0.9515929651064786,0.9920625622400563,0.9714064471721923,0.16594540612516645,1.6067687348912167,Base,MC
0.9417443408788282,0.9863515312916112,0.9902792605495309,0.9822214791283509,0.9862339115836598,0.08189081225033289,1.4057142857142857,Base,ML
0.698818242343542,0.9107162671992899,0.894364218688543,0.9224305293964243,0.9081805862634619,0.535702396804261,1.778668140370268,CB,MC
0.9280126498002663,0.9807478916999556,0.9628308141821655,0.9981069431500466,0.9801515801515802,0.1155126498002663,1.6046242774566475,CB,ML
0.8974700399467377,0.9730498224589437,0.9684216440973198,0.9767916347870441,0.9725886319709945,0.1617010652463382,1.5771103896103895,LB,MC
0.9831058588548602,0.9966988459831336,0.9980895656571332,0.9952375616315553,0.9966615233553093,0.0198069241011984,1.1724137931034482,LB,ML
0.8951398135818908,0.9720372836218375,0.9512839242568972,0.9917403784195419,0.9710909716645635,0.1677762982689747,1.6,Base,MC
0.9379161118508655,0.9857967154904572,0.9896611788503681,0.9817178529624881,0.9856735127875091,0.085219707057257,1.3726541554959786,Base,ML
0.6956557922769641,0.9095511540168664,0.8913580940607968,0.9228062010994444,0.90680957484816,0.5426930758988016,1.783155592015313,CB,MC
0.9308422103861518,0.9813998002663116,0.9641231668258695,0.9981385067333701,0.9808360128617362,0.1116011984021305,1.6137184115523466,CB,ML
0.9017143808255659,0.9740901020861075,0.9703320784401865,0.977029702970297,0.9736693730266125,0.15545938748335553,1.5817104149026249,LB,MC
0.9835219707057257,0.996754327563249,0.9981457549025117,0.9952935903182429,0.9967176322064806,0.01947403462050599,1.1818181818181819,LB,ML
0.8939747003994674,0.9722037283621837,0.9513963027476541,0.9919737535883766,0.9712614007916021,0.16677762982689748,1.5729984301412874,Base,MC
0.9424933422103862,0.9862821793164669,0.9902792605495309,0.9820846451756707,0.9861649297055326,0.0823069241011984,1.431259044862518,Base,ML
0.6949900133155792,0.9087328007101643,0.8890262403775917,0.923265449028418,0.9058224079693135,0.5476031957390146,1.795361527967258,CB,MC
0.9254327563249002,0.9803456502441189,0.9619036916334214,0.9982215224933672,0.9797261528336172,0.11792609853528628,1.5814732142857142,CB,ML
0.8978861517976032,0.9729804704837994,0.9681126032477384,0.9769505556815604,0.9725115005785567,0.16211717709720372,1.5876120619396903,LB,MC
0.9832723035952063,0.9967127163781625,0.9981457549025117,0.9952099498585395,0.9966756904604941,0.0197237017310253,1.1791044776119404,LB,ML
0.8948901464713716,0.9718430980914337,0.9503568017081531,0.9922851276034027,0.970868492049825,0.16894141145139813,1.6072842438638164,Base,MC
0.938332223701731,0.9855747891699955,0.9893521380007867,0.9815754264689486,0.9854484399048552,0.08655126498002663,1.4035087719298245,Base,ML
0.6902463382157124,0.9065828894806924,0.8891105242456594,0.9190358646725715,0.9038255579831213,0.5605026631158455,1.8095110155830199,CB,MC
0.9276797603195739,0.9800959831335997,0.9613698938023262,0.9982496572245398,0.97946273954174,0.11942410119840213,1.6513233601841197,CB,ML
0.8987183754993342,0.9736323790501553,0.9687025903242119,0.9776845209402557,0.9731728313176501,0.1582057256990679,1.562037797863599,LB,MC
0.9834387483355526,0.996754327563249,0.9981176602798224,0.9953213425225528,0.9967175401189541,0.01947403462050599,1.1758793969849246,LB,ML
0.8939747003994674,0.9719540612516645,0.9508063156711806,0.992056047370581,0.9709932862799106,0.16827563249001332,1.58712715855573,Base,MC
0.9418275632490013,0.9865318464269862,0.9898859358318818,0.9829543869437858,0.9864079844342726,0.08080892143808256,1.3891273247496423,Base,ML
0.6944074567243675,0.9085386151797603,0.8900376467944036,0.9220023282887078,0.9057380564370872,0.5487683089214381,1.7957516339869282,CB,MC
0.9276797603195739,0.9804843541944075,0.9620722593695566,0.9983382408676131,0.9798698047070605,0.11709387483355525,1.619102416570771,CB,ML
0.9008821571238349,0.9740901020861075,0.969994942967916,0.9773537904093302,0.9736604624929497,0.15545938748335553,1.568429890848027,LB,MC
0.9835219707057257,0.9967127163781625,0.9980333764117548,0.9953209492589168,0.9966753173879497,0.0197237017310253,1.196969696969697,LB,ML
0.8936418109187749,0.9712050599201065,0.9495420576501657,0.9917835553729679,0.9702032380296245,0.17276964047936086,1.624413145539906,Base,MC
0.9409953395472703,0.986087993786063,0.989520705736922,0.9824272684165016,0.985961228917349,0.08347203728362183,1.4146685472496474,Base,ML
0.6976531291611185,0.9081225033288948,0.8897286059448222,0.9214676443202979,0.905320030873903,0.5512649800266312,1.823286540049546,CB,MC
0.9248501997336884,0.9794718153573013,0.9599651626678654,0.998392940626461,0.9788020281302815,0.12316910785619174,1.6389811738648947,CB,ML
0.8963049267643143,0.971898579671549,0.969095915041861,0.9738565782044043,0.9714704142845073,0.16860852197070572,1.6260032102728732,LB,MC
0.9835219707057257,0.9967265867731913,0.9981457549025117,0.995237828449773,0.9966896706502832,0.019640479360852198,1.1919191919191918,LB,ML
0.8962217043941412,0.9718569684864625,0.9510591672753835,0.9915931925363953,0.9709033025970488,0.16885818908122505,1.6271050521251003,Base,MC
0.9405792276964048,0.9861296049711495,0.9899983143226386,0.982052282481467,0.9860092898315519,0.08322237017310254,1.4005602240896358,Base,ML
0.7018974700399467,0.9091489125610297,0.8907681069843232,0.9225442271880819,0.9063777479202996,0.5451065246338216,1.8285873813512004,CB,MC
0.9280126498002663,0.9807617620949844,0.962634151823341,0.9983392092305002,0.9801616248301509,0.11542942743009321,1.6034682080924856,CB,ML
0.9019640479360852,0.9741178428761651,0.9693768612687531,0.9780045351473923,0.9736715861952198,0.1552929427430093,1.5840407470288624,LB,MC
0.9836051930758988,0.9967404571682201,0.9981457549025117,0.9952657086029638,0.9967036512322734,0.019557256990679093,1.1928934010152283,LB,ML
0.8945572569906791,0.9722592099422992,0.9514243973703433,0.9920611670963206,0.9713179406281371,0.16644474034620507,1.5785319652722967,Base,MC
0.941577896138482,0.9864902352418997,0.989914030454571,0.9828451882845188,0.9863669447399362,0.08105858854860186,1.3874643874643875,Base,ML
0.6941577896138482,0.908288948069241,0.8901500252851604,0.9214215087535625,0.9055158616747643,0.550266311584554,1.7991836734693878,CB,MC
0.9257656458055925,0.9802901686640035,0.9618194077653537,0.9981922617138526,0.9796683407019502,0.1182589880159787,1.59304932735426,CB,ML
0.896055259653795,0.9720788948069241,0.969348766646064,0.9739731827805223,0.9716554724791957,0.1675266311584554,1.611689351481185,LB,MC
0.9834387483355526,0.9967265867731913,0.9981176602798224,0.9952655759748992,0.996689577780895,0.019640479360852198,1.185929648241206,LB,ML
0.8936418109187749,0.9716489125610297,0.9500477608585717,0.9921952937034212,0.9706642172340548,0.17010652463382156,1.5993740219092332,Base,MC
0.9401631158455392,0.9861434753661784,0.9901106928133955,0.9819721920365572,0.9860246492172964,0.08313914780292943,1.3894297635605006,Base,ML
0.6973202396804261,0.909592765201953,0.8907119177389448,0.9234533379937085,0.9067871750135859,0.5424434087882823,1.7921363761341764,CB,MC
0.9281790945406125,0.9807617620949844,0.9625498679552733,0.9984263441643596,0.9801599221845542,0.11542942743009321,1.6071842410196988,CB,ML
0.8992177097203728,0.9736878606302708,0.9697982806090915,0.9767408958433548,0.97325720730246,0.1578728362183755,1.5664739884393064,LB,MC
0.9836884154460719,0.9967820683533067,0.9981457549025117,0.9953493584355915,0.9967455953316127,0.019307589880159785,1.183673469387755,LB,ML
0.8936418109187749,0.9718292276964048,0.9507501264258021,0.9918520472464023,0.9708662659762167,0.16902463382157124,1.5892018779342723,Base,MC
0.9396637816245007,0.9860741233910342,0.9894364218688543,0.9824806115047704,0.985946248600224,0.08355525965379494,1.3848275862068966,Base,ML
0.6994840213049268,0.9101753217931646,0.8924537843456762,0.9230545708142035,0.9074962861387271,0.538948069241012,1.7934090279700914,CB,MC
0.9259320905459387,0.9800266311584553,0.961341799179637,0.9981331310892013,0.979392065945389,0.11984021304926765,1.6179775280898876,CB,ML
0.901797603195739,0.9742010652463382,0.9696859021183345,0.977872846781505,0.9737621667371985,0.15479360852197072,1.576271186440678,LB,MC
0.9835219707057257,0.996754327563249,0.9981176602798224,0.9953213425225528,0.9967175401189541,0.01947403462050599,1.1818181818181819,LB,ML
0.8911451398135819,0.9711911895250777,0.949710625386301,0.9915813557830513,0.9701944464375404,0.17285286284953397,1.587920489296636,Base,MC
0.939164447403462,0.9857828450954284,0.989267854132719,0.9820666573699623,0.9856541029265631,0.08530292942743009,1.40218878248974,Base,ML
0.6929926764314248,0.9081225033288948,0.8884081586784289,0.922623563050709,0.9051926489952481,0.5512649800266312,1.795608566007048,CB,MC
0.9241844207723036,0.9793331114070128,0.9598808787997977,0.9981886175061353,0.9786600211967574,0.12400133155792277,1.6355653128430296,CB,ML
0.8975532623169108,0.9734659343098091,0.9696297128729561,0.9764606026312067,0.9730331693426748,0.15920439414114515,1.554021121039805,LB,MC
0.9836051930758988,0.9967681979582779,0.9980333764117548,0.9954325104379746,0.9967312467557975,0.01939081225033289,1.1827411167512691,LB,ML
0.8930592543275633,0.9715934309809143,0.9499353823678148,0.9921943776043195,0.9706051211390516,0.170439414114514,1.593774319066148,Base,MC
0.9384154460719041,0.9852835108743897,0.9896892734730572,0.980679825171905,0.9851639516185415,0.08829893475366178,1.4337837837837837,Base,ML
0.6904960053262317,0.9065828894806924,0.8878181716019554,0.9201584020033194,0.9036990434247967,0.5605026631158455,1.8109706910459802,CB,MC
0.9214380825565912,0.9783621837549934,0.9578299713434849,0.9982724291403139,0.977633125914031,0.12982689747003995,1.652542372881356,CB,ML
0.8967210386151797,0.9733688415446072,0.9695454290048885,0.9763481016239461,0.9729348745418664,0.15978695073235685,1.5471394037066881,LB,MC
0.9833555259653795,0.9966988459831336,0.9980895656571332,0.9952375616315553,0.9966615233553093,0.0198069241011984,1.19,LB,ML
0.8942243675099867,0.9718569684864625,0.9504129909535315,0.992256474936204,0.9708840960293885,0.16885818908122505,1.5963808025177026,Base,MC
0.9401631158455392,0.9860047714158899,0.9892959487554082,0.9824781674618454,0.9858752712255897,0.08397137150466046,1.4033379694019472,Base,ML
0.6970705725699068,0.9094124500665779,0.8897286059448222,0.9239679066374908,0.9065250683421832,0.5435252996005326,1.7942307692307693,CB,MC
0.9257656458055925,0.9802901686640035,0.9617351238972861,0.9982794319209122,0.9796665951205552,0.1182589880159787,1.59304932735426,CB,ML
0.9012982689747004,0.9745062139369729,0.9699387537225375,0.9782386943216593,0.9740710436475468,0.15296271637816244,1.5497470489038785,LB,MC
0.9835219707057257,0.9967265867731913,0.998061471034444,0.995321080354141,0.9966893920264848,0.019640479360852198,1.1919191919191918,LB,ML
0.8936418109187749,0.9719124500665779,0.9506939371804237,0.9920842006508546,0.9709481657891339,0.1685252996005326,1.5845070422535212,Base,MC
0.9405792276964048,0.9857551043053706,0.9900825981907063,0.9812334679103438,0.9856381714189821,0.0854693741677763,1.438375350140056,Base,ML
0.6958222370173103,0.9084276520195295,0.8898128898128899,0.9219841639496973,0.9056129013810654,0.5494340878828229,1.8062927496580028,CB,MC
0.922936085219707,0.9794718153573013,0.9601337304040006,0.9982182497955369,0.9788056709150794,0.12316910785619174,1.5982721382289418,CB,ML
0.8980525965379494,0.9728001553484243,0.9695454290048885,0.9752168875575776,0.9723728885194629,0.16319906790945407,1.6008163265306123,LB,MC
0.9836051930758988,0.996754327563249,0.9981176602798224,0.9953213425225528,0.9967175401189541,0.01947403462050599,1.1878172588832487,LB,ML
