Brightness,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
1.0,0.9484193011647255,0.9897393233499723,0.9865395401009535,0.9926636568848759,0.9895921237693389,0.06156405990016639,1.1935483870967742,0,Base,MC
1.05,0.9438202247191011,0.9882289994649546,0.9853420195439739,0.9907205240174672,0.9880239520958084,0.07062600321027288,1.2571428571428571,0,Base,MC
1.1,0.9417637271214643,0.9872434830837493,0.9801762114537445,0.994413407821229,0.9872434830837492,0.07653910149750416,1.3142857142857143,0,Base,MC
1.15,0.9414893617021277,0.984338061465721,0.9765576804441702,0.990613266583229,0.9835352593973283,0.09397163120567376,1.606060606060606,0,Base,MC
1.2,0.9065108514190318,0.9774624373956594,0.9608621667612025,0.9929660023446659,0.9766503315076391,0.1352253756260434,1.4464285714285714,0,Base,MC
1.25,0.86,0.9583333333333334,0.9268156424581006,0.9886769964243146,0.9567474048442905,0.25,1.7857142857142858,0,Base,MC
1.3,0.6897689768976898,0.9100660066006601,0.8364849833147943,0.9785296031229668,0.9019490254872564,0.5396039603960396,1.7393617021276595,0,Base,MC
1.35,0.43800322061191627,0.8209876543209876,0.660053619302949,0.9738924050632911,0.7868328539469479,1.0740740740740742,1.9111747851002865,0,Base,MC
1.4,0.24367088607594936,0.7434071729957806,0.5132978723404256,0.9433040078201369,0.6648294867378575,1.5395569620253164,2.0355648535564854,0,Base,MC
1.45,0.19089316987740806,0.7113251605370695,0.4566608493310064,0.9345238095238095,0.6135209066041423,1.7320490367775832,2.1406926406926408,0,Base,MC
1.5,0.15175718849840256,0.6869009584664537,0.40098738343390017,0.8969325153374234,0.55420773313116,1.878594249201278,2.214689265536723,0,Base,MC
1.55,0.12146422628951747,0.6641708264004437,0.3683622135271101,0.8905405405405405,0.5211546065638593,2.0149750415973378,2.293560606060606,0,Base,MC
1.6,0.13590604026845637,0.642337807606264,0.33860045146726864,0.8486562942008486,0.48406615570794675,2.1459731543624163,2.483495145631068,0,Base,MC
1.65,0.14720812182741116,0.64692611393119,0.3325540619520748,0.8379970544918999,0.47615062761506277,2.1184433164128595,2.484126984126984,0,Base,MC
1.7000000000000002,0.11379310344827587,0.6031609195402299,0.27629233511586454,0.7404458598726115,0.4024231934227607,2.3810344827586207,2.686770428015564,0,Base,MC
1.75,0.06935483870967742,0.5545698924731183,0.22258064516129034,0.6624,0.3331991951710262,2.67258064516129,2.8717504332755635,0,Base,MC
